"collected_at","id","name","fromName","toName","jamLevel","length_m","time_s","historicTime_s","delay_s","type","lat","lon"
"2026-07-18T08:55:02","0","Area de Ciclismo","","","5","1583","0","0",,"STATIC","-10.210634","-48.364333"
"2026-07-18T08:55:02","1","Area de Ciclismo","","","5","1119","0","0",,"STATIC","-10.213941","-48.364657"
"2026-07-18T08:55:02","2","Area de Ciclismo","","","5","983","0","0",,"STATIC","-10.208164","-48.362847"
"2026-07-19T10:42:22","0","Cats Run 2026","","","5","2517","0","0",,"STATIC","-10.196676","-48.35963"
"2026-07-19T11:41:38","0","Cats Run 2026","","","5","2517","0","0",,"STATIC","-10.196676","-48.35963"
"2026-07-20T21:08:34","0","Av. Siqueira Campos,Palmas","","Desvio","4","1261","997","86","911","DYNAMIC","-10.285835","-48.333082"
"2026-07-20T22:10:02","0","Av. Siqueira Campos,Palmas","","Desvio","4","1261","952","80","872","DYNAMIC","-10.285835","-48.333082"
"2026-07-21T08:44:18","0","Area de Ciclismo","","","5","1119","0","0",,"STATIC","-10.213941","-48.364657"
"2026-07-21T08:44:18","1","Area de Ciclismo","","","5","983","0","0",,"STATIC","-10.210282","-48.363646"
"2026-07-21T08:44:18","2","Area de Ciclismo","","","5","1583","0","0",,"STATIC","-10.210252","-48.364385"
"2026-07-21T14:20:01","0","TO-080,Palmas","Palmas","Luzimangues (Porto Nacional)","3","3676","994","364","630","DYNAMIC","-10.185772","-48.429246"
"2026-07-21T20:56:41","0","Av. Siqueira Campos,Palmas","","","4","1041","526","66","460","DYNAMIC","-10.285809","-48.333083"
"2026-07-21T21:55:43","0","Av. Siqueira Campos,Palmas","","","4","1041","573","69","504","DYNAMIC","-10.285809","-48.333083"
"2026-07-23T08:46:01","0","Area de Ciclismo","","","5","3729","0","0",,"STATIC","-10.210282","-48.363646"
"2026-07-24T20:01:04","0","TO-080,Luzimangues (Porto Nacional)","Luzimangues (Porto Nacional)","Palmas","3","8089","1793","744","1049","DYNAMIC","-10.185632","-48.419569"
"2026-07-25T08:18:24","0","Area de Ciclismo","","","5","983","0","0",,"STATIC","-10.210817","-48.362524"
"2026-07-25T08:18:24","1","Area de Ciclismo","","","5","1119","0","0",,"STATIC","-10.210994","-48.36245"
"2026-07-25T08:18:24","2","Area de Ciclismo","","","5","1583","0","0",,"STATIC","-10.207318","-48.362764"
"2026-07-25T12:09:19","0","TO-080,Palmas","Palmas","Luzimangues (Porto Nacional)","3","3676","1077","343","734","DYNAMIC","-10.185772","-48.429246"
"2026-07-25T12:09:19","1","TO-080,Luzimangues (Porto Nacional)","Luzimangues (Porto Nacional)","Palmas","3","3125","820","284","536","DYNAMIC","-10.185775","-48.429666"
"2026-07-26T11:53:53","0","Corrida de rua","","","5","2428","0","0",,"STATIC","-10.316829","-48.150004"
"2026-07-26T18:33:56","0","TO-080,Luzimangues (Porto Nacional)","Luzimangues (Porto Nacional)","Palmas","3","3309","640","165","475","DYNAMIC","-10.185774","-48.429526"
"2026-07-27T11:40:47","0","TO-080,Luzimangues (Porto Nacional)","Luzimangues (Porto Nacional)","Palmas","3","7905","2168","757","1411","DYNAMIC","-10.185632","-48.419689"
"2026-07-27T13:56:39","0","TO-080,Palmas","Palmas","Luzimangues (Porto Nacional)","4","5882","3034","632","2402","DYNAMIC","-10.185045","-48.392624"
"2026-07-27T13:56:39","1","TO-080,Luzimangues (Porto Nacional)","Luzimangues (Porto Nacional)","Palmas","3","6985","1220","691","529","DYNAMIC","-10.185636","-48.420289"
"2026-07-28T09:21:04","0","Area de Ciclismo","","","5","1119","0","0",,"STATIC","-10.21073","-48.363836"
"2026-07-28T09:21:04","1","Area de Ciclismo","","","5","1583","0","0",,"STATIC","-10.213597","-48.364879"
"2026-07-28T09:21:04","2","Area de Ciclismo","","","5","983","0","0",,"STATIC","-10.210817","-48.362524"
"2026-07-28T13:09:56","0","TO-080,Palmas","Palmas","Luzimangues (Porto Nacional)","3","8089","1969","880","1089","DYNAMIC","-10.185632","-48.419569"
"2026-07-28T19:49:03","0","TO-080,Luzimangues (Porto Nacional)","Luzimangues (Porto Nacional)","Palmas","4","3125","1313","331","982","DYNAMIC","-10.185775","-48.429666"
"2026-07-29T18:44:55","0","TO-080,Palmas","Palmas","Luzimangues (Porto Nacional)","4","4044","1385","355","1030","DYNAMIC","-10.185769","-48.428966"
"2026-07-29T21:57:11","0","Av. Siqueira Campos,Palmas","","","4","1065","648","66","582","DYNAMIC","-10.286774","-48.333076"
"2026-07-30T09:16:49","0","Area de Ciclismo","","","5","3729","0","0",,"STATIC","-10.210282","-48.363646"
"2026-07-30T12:56:31","0","TO-080,Palmas","Palmas","Luzimangues (Porto Nacional)","4","3309","1374","297","1077","DYNAMIC","-10.185774","-48.429526"
"2026-07-30T15:01:55","0","TO-080,Luzimangues (Porto Nacional)","Luzimangues (Porto Nacional)","Palmas","3","3492","748","226","522","DYNAMIC","-10.185773","-48.429386"
"2026-07-30T19:27:57","0","TO-080,Luzimangues (Porto Nacional)","Luzimangues (Porto Nacional)","Palmas","3","8089","1305","728","577","DYNAMIC","-10.185632","-48.419569"
"2026-07-31T12:07:10","0","TO-080,Luzimangues (Porto Nacional)","Luzimangues (Porto Nacional)","Palmas","4","1838","1049","174","875","DYNAMIC","-10.185889","-48.433122"
"2026-07-31T14:29:22","0","TO-080,Luzimangues (Porto Nacional)","Luzimangues (Porto Nacional)","Palmas","2","8089","1211","663","548","DYNAMIC","-10.185632","-48.419569"
"2026-07-31T22:33:11","0","Av. Siqueira Campos,Palmas","","","4","1041","524","60","464","DYNAMIC","-10.285809","-48.333083"
"2026-08-01T09:07:38","0","Area de Ciclismo","","","5","1583","0","0",,"STATIC","-10.21005","-48.364167"
"2026-08-01T09:07:38","1","Area de Ciclismo","","","5","1119","0","0",,"STATIC","-10.210994","-48.36245"
"2026-08-01T09:07:38","2","Area de Ciclismo","","","5","983","0","0",,"STATIC","-10.208164","-48.362847"
"2026-08-01T20:16:28","0","Corrida de rua","","","5","4471","0","0",,"STATIC","-10.177375","-48.352415"
