"collected_at","areaName","updateTime","updateTimeUtc","usersOnJams_level0","usersOnJams_level1","usersOnJams_level2","usersOnJams_level3","usersOnJams_level4","lengthOfJams_level1","lengthOfJams_level2","lengthOfJams_level3","lengthOfJams_level4","lengthOfJams_level5","routesCount","irregularitiesCount"
"2026-07-16T14:23:13","Managed Area","1784222611954","2026-07-16T17:23:31","38","0","0","0","0","0","2178","936","0","3551","0","0"
"2026-07-16T14:25:13","Managed Area","1784222732391","2026-07-16T17:25:32","25","0","0","0","0","0","10267","936","0","3551","0","0"
"2026-07-16T14:30:13","Managed Area","1784223033957","2026-07-16T17:30:33","32","0","2.5","0","0","0","2861","901","0","3551","0","0"
"2026-07-16T14:35:15","Managed Area","1784223334817","2026-07-16T17:35:34","42","0","0","0","0","8089","945","2230","0","3551","0","0"
"2026-07-16T14:40:11","Managed Area","1784223629973","2026-07-16T17:40:29","25","0","0","0","0","6802","945","843","0","3551","0","0"
"2026-07-16T14:45:11","Managed Area","1784223931158","2026-07-16T17:45:31","34","0","0","0","0","2492","0","296","0","3551","0","0"
"2026-07-16T14:50:26","Managed Area","1784224244667","2026-07-16T17:50:44","26","0","0","0","0","8089","0","0","152","3551","0","0"
"2026-07-16T14:55:12","Managed Area","1784224531100","2026-07-16T17:55:31","29","2","0","0","0","8089","473","0","543","3551","0","0"
"2026-07-16T15:00:12","Managed Area","1784224831016","2026-07-16T18:00:31","41","0","0","0","0","0","473","0","181","3551","0","0"
"2026-07-16T15:05:14","Managed Area","1784225132624","2026-07-16T18:05:32","36","0","0","0","0","8089","2555","622","0","3551","0","0"
"2026-07-16T15:10:10","Managed Area","1784225429065","2026-07-16T18:10:29","42","0","0","0","0","1868","1491","8711","0","3551","0","1"
"2026-07-16T15:15:11","Managed Area","1784225730415","2026-07-16T18:15:30","30","0","0","0","0","0","1491","8937","0","3551","0","1"
"2026-07-16T15:20:11","Managed Area","1784226030474","2026-07-16T18:20:30","27","0","0","0","0","0","571","8540","0","3551","0","1"
"2026-07-16T15:25:12","Managed Area","1784226330983","2026-07-16T18:25:30","28","0","0","0","0","0","0","1748","0","3551","0","0"
"2026-07-16T15:30:11","Managed Area","1784226630035","2026-07-16T18:30:30","34","0","0","0","0","0","0","1007","0","3551","0","0"
"2026-07-16T15:35:12","Managed Area","1784226930889","2026-07-16T18:35:30","25","0","0","0","0","0","0","639","150","3551","0","0"
"2026-07-16T15:40:10","Managed Area","1784227229532","2026-07-16T18:40:29","27","0","0","0","0","0","0","397","150","3551","0","0"
"2026-07-16T15:45:12","Managed Area","1784227531588","2026-07-16T18:45:31","26","0","0","0","0","4481","0","631","0","3551","0","0"
"2026-07-16T18:50:09","Managed Area","1784227828832","2026-07-16T18:50:28","34","0","0","0","0","0","0","0","449","3551","0","0"
"2026-07-16T18:55:12","Managed Area","1784228131079","2026-07-16T18:55:31","32","0","0","0","0","0","553","0","190","3551","0","0"
"2026-07-16T19:00:16","Managed Area","1784228435119","2026-07-16T19:00:35","28","0","0","0","0","0","0","0","663","3551","0","0"
"2026-07-16T19:05:11","Managed Area","1784228730011","2026-07-16T19:05:30","27","0","0","0","0","0","1868","0","573","3551","0","0"
"2026-07-16T19:10:12","Managed Area","1784229030922","2026-07-16T19:10:30","22","0","0","0","0","0","2459","0","357","3551","0","0"
"2026-07-16T19:15:11","Managed Area","1784229330196","2026-07-16T19:15:30","30","0","0","0","0","0","2194","0","0","3551","0","0"
"2026-07-16T19:20:11","Managed Area","1784229630012","2026-07-16T19:20:30","23","0","0","0","0","0","3513","289","0","3551","0","0"
"2026-07-16T19:25:11","Managed Area","1784229930465","2026-07-16T19:25:30","37","0","0","0","0","0","585","931","0","3551","0","0"
"2026-07-16T19:30:11","Managed Area","1784230230293","2026-07-16T19:30:30","33","0","0","0","0","1523","585","426","247","3551","0","0"
"2026-07-16T19:35:12","Managed Area","1784230531158","2026-07-16T19:35:31","29","0","0","0","0","7905","0","823","0","3551","0","0"
"2026-07-16T19:40:11","Managed Area","1784230829765","2026-07-16T19:40:29","46","2","0","0","0","8089","0","827","0","3551","0","0"
"2026-07-16T19:45:11","Managed Area","1784231130240","2026-07-16T19:45:30","38","0","2.5","0","0","0","2329","406","223","3551","0","0"
"2026-07-16T19:50:11","Managed Area","1784231429874","2026-07-16T19:50:29","33","0","0","0","0","0","1075","954","0","3551","0","0"
"2026-07-16T19:55:12","Managed Area","1784231730830","2026-07-16T19:55:30","24","0","0","0","0","3410","1139","748","286","3551","0","0"
"2026-07-16T20:00:11","Managed Area","1784232029966","2026-07-16T20:00:29","49","0","0","0","0","3977","1677","397","0","3551","0","0"
"2026-07-16T20:05:13","Managed Area","1784232332362","2026-07-16T20:05:32","28","0","0","0","0","0","945","397","0","3551","0","0"
"2026-07-16T21:14:24","Managed Area","1784236466143","2026-07-16T21:14:26","33","0","0","0","0","0","2947","813","0","3551","0","0"
"2026-07-16T22:14:44","Managed Area","1784240085015","2026-07-16T22:14:45","23","0","0","0","0","2134","2492","0","0","3551","0","0"
